year,species_code,English_name,total_obs
1996,AE,Arctic Tern,18.0
1996,AS,Black Swan,4.0
1996,AX,Alexandrine Parakeet,1.0
1996,B.,Common Blackbird,29855.0
1996,BA,Bar-tailed Godwit,2.0
1996,BC,Eurasian Blackcap,3121.0
1996,BF,Eurasian Bullfinch,1188.0
1996,BG,Brant Goose,158.0
1996,BH,Black-headed Gull,4982.0
1996,BJ,Black Tern,2.0
1996,BT,Eurasian Blue Tit,20860.0
1996,BY,Barnacle Goose,17.0
1996,BZ,Common Buzzard,913.0
1996,C.,Carrion Crow,22550.0
1996,CA,Great Cormorant,326.0
1996,CB,Corn Bunting,681.0
1996,CC,Common Chiffchaff,3791.0
1996,CD,Eurasian Collared Dove,6687.0
1996,CG,Canada Goose,2167.0
1996,CH,Eurasian Chaffinch,29984.0
1996,CI,Crested Tit,5.0
1996,CK,Common Cuckoo,1678.0
1996,CM,Common Gull,2721.0
1996,CN,Common Tern,158.0
1996,CO,Eurasian Coot,1171.0
1996,CR,Red Crossbill,300.0
1996,CS,Common Sandpiper,200.0
1996,CT,Coal Tit,2468.0
1996,CU,Eurasian Curlew,2919.0
1996,CY,Scottish Crossbill,2.0
1996,D.,Dunnock,7385.0
1996,DC,Wood Duck,2.0
1996,DI,White-throated Dipper,75.0
1996,DV,Rock Dove,92.0
1996,DW,Dartford Warbler,13.0
1996,ET,Little Egret,13.0
1996,F.,Northern Fulmar,115.0
1996,FP,Feral Pigeon,10576.0
1996,FW,Helmeted Guineafowl,3.0
1996,G.,European Green Woodpecker,909.0
1996,GA,Gadwall,82.0
1996,GB,Great Black-backed Gull,415.0
1996,GC,Goldcrest,1893.0
1996,GD,Common Merganser,70.0
1996,GF,Golden Pheasant,7.0
1996,GG,Great Crested Grebe,205.0
1996,GH,Common Grasshopper Warbler,118.0
1996,GJ,Greylag Goose,805.0
1996,GL,Grey Wagtail,226.0
1996,GO,European Goldfinch,4962.0
1996,GP,European Golden Plover,376.0
1996,GR,European Greenfinch,9576.0
1996,GS,Great Spotted Woodpecker,1051.0
1996,GT,Great Tit,9040.0
1996,GU,Common Murre,31.0
1996,GV,Grey Plover,8.0
1996,GW,Garden Warbler,733.0
1996,GX,Northern Gannet,55.0
1996,H.,Grey Heron,819.0
1996,HA,Harris's Hawk,2.0
1996,HC,Hooded Crow,427.0
1996,HG,European Herring Gull,7457.0
1996,HM,Western House Martin,5692.0
1996,HS,House Sparrow,34397.0
1996,J.,Eurasian Jay,1056.0
1996,JD,Western Jackdaw,16014.0
1996,K.,Common Kestrel,639.0
1996,KB,Black Kite,1.0
1996,KF,Common Kingfisher,47.0
1996,KI,Black-legged Kittiwake,3.0
1996,L.,Northern Lapwing,4554.0
1996,LB,Lesser Black-backed Gull,4084.0
1996,LG,Little Grebe,108.0
1996,LI,Common Linnet,7611.0
1996,LN,Long-tailed Duck,1.0
1996,LO,Little Owl,114.0
1996,LR,Lesser Redpoll,643.0
1996,LS,Lesser Spotted Woodpecker,39.0
1996,LT,Long-tailed Tit,1898.0
1996,LW,Lesser Whitethroat,398.0
1996,M.,Mistle Thrush,2615.0
1996,MA,Mallard,6458.0
1996,MG,Eurasian Magpie,9605.0
1996,MH,Common Moorhen,1237.0
1996,MN,Mandarin Duck,4.0
1996,MP,Meadow Pipit,12945.0
1996,MS,Mute Swan,1898.0
1996,MT,Marsh Tit,228.0
1996,MX,Manx Shearwater,104.0
1996,MY,Muscovy Duck,1.0
1996,N.,Common Nightingale,50.0
1996,ND,Common Loon,1.0
1996,NH,Eurasian Nuthatch,651.0
1996,NX,Great Skua,27.0
1996,OC,Eurasian Oystercatcher,1904.0
1996,P.,Grey Partridge,924.0
1996,PF,European Pied Flycatcher,145.0
1996,PG,Pink-footed Goose,64.0
1996,PH,Common Pheasant,7600.0
1996,PM,Rock Ptarmigan,4.0
